연도,기업명,ticker,MSCI,S&P,Sustainalytics,ISS,ESG기준원,평균 점수
2021,포스코퓨처엠,3670,4.1937,5.6164,3.6155,3.5889,4.3531,4.2735199999999995
2021,이마트,139480,3.3202,3.1996,2.284,2.3329,5.6372,3.3547799999999994
2021,영원무역,111770,3.4395,1.693,2.3386,0.8595,3.8575,2.437143533303664
2021,금호타이어,73240,4.4163,4.3734,1.7537,2.4955,5.0197,3.674560874346446
2021,농심,4370,3.2775,3.3151,5.1289,2.0505,4.4542,3.64524
2021,삼성SDI,6400,5.3964,5.8455,1.3147,5.657,4.6081,4.56434
2021,신한지주,55550,5.8521,6.0072,3.3595,2.9799,6.5115,4.94204
2021,한국가스공사,36460,2.8673,6.1199,4.9102,3.511348089540386,3.4478716608838784,4.171323950084853
2021,KT,30200,4.4311,4.506,2.9728,4.4834,5.2763,4.33392
2021,팬오션,28670,3.038,3.3025,2.7939,2.0968172325244008,2.0194101763058376,2.6501254817660476
2021,코웨이,21240,5.1189,4.8529,2.1986,3.9468,4.4878,4.121
2021,삼성전기,9150,4.2577,6.9455,1.2468,5.9459,5.4637,4.77192
2021,HMM,11200,3.1543,3.6092,1.5168,4.8579,5.0498,3.6376000000000004
2021,SK아이이테크놀로지,361610,2.8009,5.0305,2.6045,4.8244,5.2057,4.0932
2021,SK네트웍스,1740,4.7235,3.9293,3.3943,2.2907074618795025,2.5554258922632473,3.3786466708285494
2021,BGF리테일,282330,3.4037,4.1283,4.7696,2.0974265895879896,1.8069984263347263,3.241205003184543
2021,한미약품,128940,2.8012,3.8813,5.0628,5.2249,3.4604,4.086119999999999
2021,GS,78930,4.2949,2.4555,5.5737,0.9226,2.8569,3.22072
2021,롯데쇼핑,23530,3.9489,2.4929,3.6727,1.653988313017807,1.6058903500219792,2.6748757326079575
2021,넷마블,251270,4.5242,3.4765,1.7808,3.455,3.5926,3.3658200000000003
2021,SK바이오사이언스,302440,2.9952,3.2916,3.0481,5.9584,5.5949,4.177639999999999
2021,GS리테일,7070,3.9247,3.6001,1.9344,1.4678380661451835,1.6649501419493595,2.5183976416189084
2021,현대모비스,12330,0.9068,6.1425,0.9877,5.0069,5.0097,3.6107199999999997
2021,LG디스플레이,34220,5.4649,7.0301,1.7251,6.6106,4.7043,5.107
2021,LG유플러스,32640,3.7452,4.5663,3.3916,4.7606,1.6641874331997466,3.62557748663995
2021,롯데지주,4990,3.5996,2.0808,2.5256,1.5776085114758112,1.4534185273817857,2.2474054077715193
2021,한온시스템,18880,2.7347,5.4943,1.2091,5.4955,4.675,3.9217199999999997
2021,삼성전자,5930,5.0591,4.5233,2.2173,5.9104,4.4117,4.42436
2021,SK하이닉스,660,4.8369,5.6472,2.0763,3.2065198834215405,2.8132681162904567,3.716037599942399
2021,LG에너지솔루션,373220,3.7356,4.9722,3.0669,4.5059,6.6174,4.5796
2021,삼성바이오로직스,207940,1.7385,5.5342,2.3444,3.3477,4.8046,3.5538800000000004
2021,현대차,5380,1.8841,5.8644,3.2689,4.7842,3.0559,3.7715000000000005
2021,기아,270,2.2902,5.7,3.6782,4.1834,2.6687,3.7041000000000004
2021,셀트리온,68270,2.0646,5.1799,3.9137,3.025,5.3173,3.9001000000000006
2021,포스코 홀딩스,5490,3.4824,5.4358,3.2787,3.2365,5.5629,4.2607851949556
2021,LG화학,51910,4.4112,5.4364,2.9398,7.6125,5.9862,5.27722
2021,NAVER,35420,6.1149,3.818,1.6924,5.0591,5.6851,4.4739
2021,삼성물산,28260,4.4545,5.7954,4.7825,3.3672,6.1999,4.9199
2021,KB금융,105560,6.4896,6.8666,2.2852,3.6019,5.4843,4.94552
2021,카카오,35720,4.6788,5.4335,2.5467,6.3793,5.7365,4.95496
2021,삼성생명,32830,5.1623,4.7425,2.6505,2.834942282545088,4.4829,3.9746284565090173
2021,하나금융지주,86790,4.3716,5.6972,3.0685,2.341835478690032,2.617604151130062,3.619347925964019
2021,LG전자,66570,4.8174,5.1215,4.2501,2.117,3.158351868834582,3.892870373766917
2021,카카오뱅크,323410,3.2528,2.3327,2.8201,4.098,4.429,3.38652
2021,삼성에스디에스,18260,4.4412,1.8677,1.9214,5.1968,2.364800296815185,3.158380059363037
2021,크래프톤,259960,4.9284,1.7307,3.3789,4.5287,5.7054,4.05442
2021,SK텔레콤,17670,4.431,6.3606,5.3297,3.0751,5.417,4.92268
2021,sk이노베이션,96770,4.5764,5.6302,3.0135,0.8514,5.3045,3.8752000000000004
2021,우리금융지주,316140,5.271,6.9666,7.0165,3.3566,6.1269,5.74752
2021,한화에어로스페이스,12450,2.7832,3.4816,1.827,3.3767,5.2112,3.3359399999999995
2021,하이브,352820,3.8997,1.0429,7.3118,4.9275,4.7712,4.39062
2021,고려아연,10130,3.4369,3.7737,4.5755,3.9979,4.7516631960745395,4.107132639214908
2021,S-Oil,10950,3.2372,5.3498,2.7474,6.2256,4.77,4.465999999999999
2021,대한항공,3490,2.9437,3.3933,2.555,4.82,5.7411,3.8906199999999997
2021,삼성중공업,10140,1.0674,4.1289,3.5262,4.8298,2.7009,3.2506399999999998
2021,SK바이오팜,326030,4.2316,4.5358,4.4818,3.3274,3.2880787747469586,3.972935754949391
2021,아모레퍼시픽,90430,4.3765,4.9699,1.7698,3.6937,4.4927,3.8605199999999997
2021,한국타이어앤테크놀로지,161390,4.3995,5.9623,3.4623,4.697,3.5890849000379554,4.422036980007591
2021,LG생활건강,51900,4.2978,6.0529,2.0622,5.2211,3.669922228512972,4.260784445702595
2021,카카오페이,377300,3.1015,4.8113,1.7503,3.8843575254388267,4.5508,3.619651505087765
2021,CJ제일제당,97950,4.5102,4.1207,1.334,4.7516,2.191740715982769,3.3816481431965535
2021,엔씨소프트,36570,5.6832,5.8287,2.1862,3.2374340012822223,3.14922631398905,4.016952063054254
2021,금호석유,11780,1.9656,3.1003,2.1654,1.5280906719543503,1.7335935853678541,2.098596851464441
2021,효성,4800,3.8774,3.4991,2.73,1.7663671851104639,1.5865295665571653,2.691879350333526
